Column1,Column2,Open,High,Low ,Close,Volume
4/7/2008,12:00:00 PM,1.98165,1.98335,1.98085,1.9829,34957
4/7/2008,4:00:00 PM,1.9829,1.9834,1.9794,1.9822,22406
4/7/2008,8:00:00 PM,1.9819,1.9822,1.9816,1.9819,1863
6/7/2008,8:00:00 PM,1.98226,1.98278,1.98163,1.98222,5910
7/7/2008,12:00:00 AM,1.98188,1.9824,1.97595,1.97727,10058
7/7/2008,4:00:00 AM,1.9772,1.9781,1.97175,1.9731,24338
7/7/2008,8:00:00 AM,1.97305,1.97325,1.96675,1.968,58392
7/7/2008,12:00:00 PM,1.968,1.97085,1.96485,1.9695,67814
7/7/2008,4:00:00 PM,1.9695,1.9789,1.9695,1.9768,37580
7/7/2008,8:00:00 PM,1.9768,1.977,1.97475,1.9761,6410
8/7/2008,12:00:00 AM,1.9761,1.9772,1.9735,1.9739,10655
8/7/2008,4:00:00 AM,1.9739,1.9771,1.9708,1.9769,29728
8/7/2008,8:00:00 AM,1.9769,1.9797,1.97265,1.97525,40859
8/7/2008,12:00:00 PM,1.97525,1.9754,1.9682,1.96835,71101
8/7/2008,4:00:00 PM,1.9683,1.9702,1.9665,1.9688,29948
8/7/2008,8:00:00 PM,1.9688,1.97055,1.9675,1.9696,7917
9/7/2008,12:00:00 AM,1.9696,1.97015,1.96785,1.96908,5535
9/7/2008,4:00:00 AM,1.9693,1.9742,1.96715,1.9685,28902
9/7/2008,8:00:00 AM,1.96845,1.9758,1.968,1.97175,46966
9/7/2008,12:00:00 PM,1.9718,1.98205,1.97165,1.98105,61026
9/7/2008,4:00:00 PM,1.98105,1.982,1.9782,1.98135,26304
9/7/2008,8:00:00 PM,1.98135,1.9839,1.9803,1.9809,14531
10/7/2008,12:00:00 AM,1.9809,1.98235,1.98,1.9815,19394
10/7/2008,4:00:00 AM,1.98111,1.9821,1.976,1.9768,39460
10/7/2008,8:00:00 AM,1.9764,1.9771,1.9714,1.9738,42198
10/7/2008,12:00:00 PM,1.9738,1.97895,1.9712,1.97735,64207
10/7/2008,4:00:00 PM,1.9774,1.978,1.9758,1.97795,21317
10/7/2008,8:00:00 PM,1.9779,1.97815,1.9758,1.97715,9339
11/7/2008,12:00:00 AM,1.97715,1.97935,1.97697,1.9784,9507
11/7/2008,4:00:00 AM,1.9784,1.9789,1.97535,1.976,18358
11/7/2008,8:00:00 AM,1.976,1.9814,1.9753,1.98055,44808
11/7/2008,12:00:00 PM,1.98055,1.9958,1.98,1.98925,75883
11/7/2008,4:00:00 PM,1.9892,1.98995,1.9851,1.9868,26808
11/7/2008,8:00:00 PM,1.9868,1.989,1.98665,1.9887,2684
13/7/2008,8:00:00 PM,1.99048,1.9912,1.9852,1.9852,8540
14/7/2008,12:00:00 AM,1.9852,1.9864,1.9832,1.98565,20658
14/7/2008,4:00:00 AM,1.9857,1.9881,1.98225,1.9866,45971
14/7/2008,8:00:00 AM,1.9866,1.988,1.9811,1.98675,56454
14/7/2008,12:00:00 PM,1.98675,1.9932,1.98605,1.9924,56582
14/7/2008,4:00:00 PM,1.9924,1.9962,1.9924,1.9943,23750
14/7/2008,8:00:00 PM,1.9943,1.9957,1.99285,1.99495,10518
15/7/2008,12:00:00 AM,1.99495,1.9989,1.9939,1.9986,11784
15/7/2008,4:00:00 AM,1.9986,2.0044,1.9967,2.0043,24262
15/7/2008,8:00:00 AM,2.00425,2.0155,2.0042,2.0104,62681
15/7/2008,12:00:00 PM,2.0104,2.0115,2.00105,2.00445,61261
15/7/2008,4:00:00 PM,2.00445,2.00515,2.0011,2.00375,22659
15/7/2008,8:00:00 PM,2.00375,2.0066,2.00255,2.0053,7918
16/7/2008,12:00:00 AM,2.0054,2.0057,2.00155,2.0034,7862
16/7/2008,4:00:00 AM,2.0035,2.0097,2.00015,2.0077,21906
16/7/2008,8:00:00 AM,2.0077,2.00815,2.00135,2.00285,34387
16/7/2008,12:00:00 PM,2.0029,2.0038,1.9957,1.9992,56716
16/7/2008,4:00:00 PM,1.9992,2.0013,1.99735,1.9989,26711
16/7/2008,8:00:00 PM,1.9988,1.9995,1.99685,1.9991,6370
17/7/2008,12:00:00 AM,1.9991,2.0023,1.9991,2.0015,14341
17/7/2008,4:00:00 AM,2.0015,2.0025,1.9976,2.0001,27465
17/7/2008,8:00:00 AM,2.0001,2.0048,1.9983,2.00175,53686
17/7/2008,12:00:00 PM,2.00175,2.00715,1.99895,2.0036,69592
17/7/2008,4:00:00 PM,2.0036,2.0042,1.99475,1.99865,32528
17/7/2008,8:00:00 PM,1.99865,2.00415,1.9969,1.9973,8918
18/7/2008,12:00:00 AM,1.9973,1.998,1.99394,1.9977,11152
18/7/2008,4:00:00 AM,1.9976,1.9997,1.9906,1.9922,33946
18/7/2008,8:00:00 AM,1.9922,1.998,1.9911,1.99375,53404
18/7/2008,12:00:00 PM,1.9937,1.99875,1.99305,1.9983,60854
18/7/2008,4:00:00 PM,1.99825,1.9986,1.9966,1.9981,16215
18/7/2008,8:00:00 PM,1.9981,1.9992,1.99715,1.99825,1838
20/7/2008,8:00:00 PM,1.9978,1.99834,1.993,1.9942,5685
21/7/2008,12:00:00 AM,1.9942,1.9957,1.99325,1.9952,7520
21/7/2008,4:00:00 AM,1.9952,1.9955,1.99075,1.99235,25949
21/7/2008,8:00:00 AM,1.99235,1.9976,1.9918,1.9964,47501
21/7/2008,12:00:00 PM,1.99645,1.9982,1.99345,1.9977,41219
21/7/2008,4:00:00 PM,1.9977,1.9993,1.997,1.99905,21576
21/7/2008,8:00:00 PM,1.99905,2.0038,1.999,2.0014,10383
22/7/2008,12:00:00 AM,2.0014,2.00255,2.0011,2.00156,8506
22/7/2008,4:00:00 AM,2.0018,2.0043,2.0005,2.00255,23696
22/7/2008,8:00:00 AM,2.00255,2.00755,2.00245,2.0064,51029
22/7/2008,12:00:00 PM,2.0064,2.00665,1.99145,1.9939,91408
22/7/2008,4:00:00 PM,1.99385,1.9941,1.9896,1.9906,22289
22/7/2008,8:00:00 PM,1.9908,1.9931,1.9902,1.9912,7407
23/7/2008,12:00:00 AM,1.9912,1.99445,1.9906,1.9933,9417
23/7/2008,4:00:00 AM,1.9933,1.994,1.9903,1.9919,20552
23/7/2008,8:00:00 AM,1.99185,2.00235,1.9908,2.00185,59068
23/7/2008,12:00:00 PM,2.0018,2.00295,1.99605,2.0019,85391
23/7/2008,4:00:00 PM,2.0019,2.0028,1.9962,1.9989,38718
23/7/2008,8:00:00 PM,1.9989,2.0003,1.99635,1.99725,9224
24/7/2008,12:00:00 AM,1.99725,1.9989,1.996,1.9975,9262
24/7/2008,4:00:00 AM,1.9975,1.99865,1.99195,1.99275,34193
24/7/2008,8:00:00 AM,1.9929,1.99385,1.98315,1.986,67639
24/7/2008,12:00:00 PM,1.986,1.98805,1.9816,1.983,55849
24/7/2008,4:00:00 PM,1.983,1.9867,1.9818,1.9867,20735
24/7/2008,8:00:00 PM,1.9867,1.9871,1.98485,1.9856,8582
25/7/2008,12:00:00 AM,1.9856,1.98655,1.98305,1.9858,10700
25/7/2008,4:00:00 AM,1.9858,1.98945,1.9836,1.9871,33842
25/7/2008,8:00:00 AM,1.98725,1.9978,1.9861,1.995,54124
25/7/2008,12:00:00 PM,1.99495,1.9968,1.98695,1.988,65019
25/7/2008,4:00:00 PM,1.988,1.9912,1.988,1.9903,17294
25/7/2008,8:00:00 PM,1.9903,1.9917,1.9903,1.9914,1430
27/7/2008,8:00:00 PM,1.99148,1.99148,1.98717,1.9876,5035
28/7/2008,12:00:00 AM,1.9876,1.9907,1.9869,1.9906,16087
28/7/2008,4:00:00 AM,1.9906,1.99145,1.984,1.9862,28772
28/7/2008,8:00:00 AM,1.9862,1.9894,1.98565,1.98665,60425
28/7/2008,12:00:00 PM,1.98665,1.9947,1.98605,1.9942,53016
28/7/2008,4:00:00 PM,1.9942,1.9964,1.99355,1.9942,25913
28/7/2008,8:00:00 PM,1.99405,1.9948,1.9932,1.9947,9332
29/7/2008,12:00:00 AM,1.9947,1.99515,1.99205,1.9925,8922
29/7/2008,4:00:00 AM,1.9925,1.9968,1.9921,1.9934,29715
29/7/2008,8:00:00 AM,1.9933,1.9952,1.9863,1.9872,56624
29/7/2008,12:00:00 PM,1.9872,1.98885,1.9797,1.9804,74771
29/7/2008,4:00:00 PM,1.9805,1.9809,1.97595,1.97955,25705
29/7/2008,8:00:00 PM,1.97955,1.98036,1.97855,1.98,6432
30/7/2008,12:00:00 AM,1.98,1.9821,1.97935,1.98129,9433
30/7/2008,4:00:00 AM,1.98115,1.9822,1.97675,1.9822,27122
30/7/2008,8:00:00 AM,1.9822,1.98425,1.9781,1.98095,53790
30/7/2008,12:00:00 PM,1.9809,1.9819,1.97445,1.9807,59075
30/7/2008,4:00:00 PM,1.9807,1.9835,1.9795,1.98145,22447
30/7/2008,8:00:00 PM,1.98135,1.9822,1.9799,1.98065,6004
31/7/2008,12:00:00 AM,1.9806,1.9813,1.97825,1.98085,8216
31/7/2008,4:00:00 AM,1.9811,1.9834,1.978,1.9808,24545
31/7/2008,8:00:00 AM,1.9808,1.9833,1.97935,1.9803,43327
31/7/2008,12:00:00 PM,1.98025,1.9929,1.9784,1.9807,83452
31/7/2008,4:00:00 PM,1.9807,1.9833,1.9797,1.9821,23084
